code_insee;commune;dept;derniere_complete;age_mois;nb_parametres_complete;nb_controles_depuis;dernier_controle;nb_depassements;nb_abandonnes_24m;nb_jamais_recherches;abandonnes
26306;Sainte-Jalle;26;2021-10-26;58;345;81;2026-06-23;0;0;0;
26376;Villeperdrix;26;2021-10-22;58;345;41;2026-05-05;0;0;0;
02696;Saint-Thomas;02;2021-11-16;57;397;14;2026-03-18;2;2;2;Chloridazone méthyl desphényl (57 mois) | ESA metolachlore (57 mois)
07114;Labatie-d'Andaure;07;2022-01-17;55;284;39;2026-06-08;0;0;0;
09018;Arrout;09;2022-01-18;55;337;46;2026-04-15;0;0;0;
48121;Prunières;48;2022-01-26;55;332;83;2026-06-08;1;0;0;
28144;Les Étilleux;28;2022-02-08;54;359;28;2026-05-05;3;2;0;Metolachlor NOA 413173 (38 mois) | ESA metolachlore (38 mois)
48087;Prinsuéjols-Malbouzon;48;2022-02-01;54;333;93;2026-06-11;0;0;0;
02606;Le Plessier-Huleu;02;2022-03-14;53;378;31;2026-05-22;3;0;0;
05106;Prunières;05;2022-03-09;53;256;41;2026-05-12;0;0;0;
48005;Antrenas;48;2022-04-05;52;332;63;2026-05-05;0;0;0;
32348;Roquelaure;32;2022-04-04;52;337;8;2025-04-16;1;1;0;ESA metolachlore (50 mois)
26316;Saint-Martin-le-Colonel;26;2022-04-05;52;345;28;2026-05-06;0;0;0;
07318;Tauriers;07;2022-04-27;52;284;34;2026-06-12;0;0;0;
02561;Nouvion-le-Vineux;02;2022-05-31;51;361;28;2026-06-24;4;1;1;Anthraquinone (pesticide) (51 mois)
38049;Bossieu;38;2022-05-30;51;343;30;2026-05-04;2;1;0;Total des pesticides analysés (28 mois)
04087;Fontienne;04;2022-05-16;51;252;24;2026-04-13;0;0;0;
01261;Monthieux;01;2022-05-16;51;348;29;2026-06-05;1;0;0;
01279;Oncieu;01;2022-05-30;51;341;30;2026-05-12;0;0;0;
26066;Le Chaffal;26;2022-06-27;50;345;26;2026-06-29;2;0;0;
38173;Le Freney-d'Oisans;38;2022-06-22;50;348;55;2026-06-10;1;0;0;
38040;Besse;38;2022-06-13;50;348;69;2026-06-23;0;0;0;
02090;Billy-sur-Ourcq;02;2022-07-12;49;361;50;2026-04-10;3;0;0;
05127;Rousset-Serre-Ponçon;05;2022-07-18;49;259;28;2026-04-16;2;0;0;
26277;La Roche-sur-Grane;26;2022-07-27;49;345;22;2026-05-21;0;0;0;
01441;Vieu-d'Izenave;01;2022-07-19;49;348;17;2026-06-18;1;1;0;Anthraquinone (pesticide) (48 mois)
02766;Vaudesson;02;2022-08-17;48;398;106;2026-03-24;3;0;0;
07096;Gluiras;07;2022-08-23;48;285;79;2026-06-10;0;0;0;
06068;Gourdon;06;2022-08-03;48;249;36;2026-06-11;0;0;0;
42233;Saint-Haon-le-Vieux;42;2022-08-16;48;282;43;2026-06-09;0;0;0;
07093;Genestelle;07;2022-09-20;47;284;47;2026-04-21;2;0;0;
68035;Biederthal;68;2022-09-20;47;264;30;2026-05-22;0;0;0;
02272;Droizy;02;2022-10-25;46;397;29;2026-04-10;4;0;0;
02478;Merlieux-et-Fouquerolles;02;2022-10-28;46;398;34;2026-02-16;4;1;1;Atrazine déséthyl (46 mois)
02743;Le Thuel;02;2022-10-05;46;397;53;2026-04-15;3;0;0;
05049;Esparron;05;2022-10-10;46;257;50;2026-06-11;1;0;0;
68049;Bouxwiller;68;2022-10-24;46;263;26;2026-06-17;0;0;0;
02227;Courmont;02;2022-10-19;46;397;7;2026-04-29;1;1;1;Atrazine déséthyl (46 mois)
02413;Laval-en-Laonnois;02;2022-11-21;45;361;13;2026-06-24;3;0;0;
05129;Saint-André-de-Rosans;05;2022-11-14;45;262;66;2026-05-27;3;0;0;
38062;La Buissière;38;2022-11-10;45;350;69;2026-06-11;1;0;0;
26266;Rimon-et-Savel;26;2022-11-23;45;345;52;2026-05-12;1;0;0;
02798;Viels-Maisons;02;2022-12-05;44;246;12;2026-04-16;4;2;2;Atrazine déséthyl (44 mois) | Atrazine (44 mois)
02183;Chevregny;02;2022-12-02;44;361;33;2026-01-06;4;1;1;Atrazine déséthyl (44 mois)
02330;Francilly-Selency;02;2023-01-12;43;246;16;2026-01-21;3;0;0;
02001;Abbécourt;02;2023-02-23;42;246;19;2026-03-10;3;3;0;Chloridazone desphényl (33 mois) | Total des pesticides analysés (33 mois) | Chloridazone méthyl desphényl (33 mois)
02829;Vuillery;02;2023-02-20;42;394;16;2025-09-26;3;0;0;
02417;Lempire;02;2023-02-20;42;376;17;2026-06-26;2;0;0;
48152;Ventalon en Cévennes;48;2023-03-07;41;332;96;2026-06-18;1;0;0;
01214;Leyssard;01;2023-03-13;41;341;51;2026-06-10;0;0;0;
28049;Boncé;28;2023-04-25;40;253;22;2026-04-15;2;0;0;
56011;Béganne;56;2023-04-12;40;288;38;2026-06-23;0;0;0;
04095;L'Hospitalet;04;2023-04-03;40;252;20;2026-06-23;0;0;0;
07200;Le Roux;07;2023-04-28;40;285;69;2026-03-04;1;0;0;
48127;Monts-de-Randon;48;2023-04-17;40;332;231;2026-05-19;0;0;0;
48194;Vialas;48;2023-04-04;40;334;88;2026-05-06;0;0;0;
28330;Villemaury;28;2023-05-10;39;253;39;2026-04-24;5;3;1;Total des pesticides analysés (39 mois) | Atrazine déséthyl déisopropyl (38 mois) | Atrazine déséthyl (38 mois)
05011;Avançon;05;2023-05-03;39;256;69;2026-05-26;2;0;0;
04224;Ubraye;04;2023-05-30;39;252;69;2026-06-11;1;0;0;
26246;Ponet-et-Saint-Auban;26;2023-05-09;39;274;19;2026-06-08;0;0;0;
38322;Presles;38;2023-05-30;39;342;18;2026-05-12;0;0;0;
26369;Verclause;26;2023-05-05;39;346;25;2026-06-09;1;0;0;
26264;Rémuzat;26;2023-06-15;38;345;21;2026-04-17;1;0;0;
